trade_date,exchange,symbol,trade_type,quantity,price,order_id,trade_id,entry_reason,exit_reason,stop_loss,take_profit,tags,emotion
2026-05-20,NSE,RELIANCE,buy,10,2450.50,260520001,T260520001,Breakout dekha resistance ke upar volume bhi tha,,2410.00,2500.00,breakout,confident
2026-05-20,NSE,RELIANCE,sell,10,2485.75,260520002,T260520002,,Target hit profit book kar liya,,,,
2026-05-21,NSE,TCS,buy,5,3850.00,260521001,T260521001,Support se pullback buying dip opportunity,,3810.00,3930.00,pullback,calm
2026-05-22,NSE,TCS,sell,5,3920.25,260522001,T260522001,,Target poora hua accha trade tha,,,,
2026-05-22,NSE,INFY,buy,20,1580.00,260522002,T260522002,Breakdown ho raha tha short entry li,,1550.00,1520.00,breakdown,fearful
2026-05-25,NSE,INFY,sell,20,1545.50,260525001,T260525001,,SL hit ho gaya loss book kiya,,,,
2026-05-28,NSE,HDFCBANK,buy,15,1520.00,260526001,T260526001,Breakout from resistance bahut strong lag raha,,1500.00,1560.00,breakout,fomo
2026-05-28,BSE,TATAMOTORS,buy,25,980.50,260526002,T260526002,Pullback support le liya volume kam tha though,,960.00,1010.00,pullback,uncertain
2026-05-27,BSE,TATAMOTORS,sell,25,1015.75,260527001,T260527001,,Target hit accha bounce aaya,,,,
2026-05-28,NSE,SBIN,buy,50,780.25,260528001,T260528001,Breakout from range bahut din se consolidation tha,,765.00,800.00,breakout,confident
2026-05-28,NSE,SBIN,buy,50,775.00,260528002,T260528002,Aur add kiya dip mein strong lag raha,,765.00,800.00,breakout,confident
2026-05-28,NSE,SBIN,sell,100,795.50,260520001,T260520001,,Full exit target achieved both lots,,,,
2026-05-20,NSE,ICICIBANK,buy,30,1050.00,260520002,T260520002,Support retest bounce ki ummeed thi,,1030.00,1080.00,pullback,calm
2026-05-28,NSE,ICICIBANK,sell,30,1035.25,260521001,T260521001,,Stop loss hit ho gaya loss hua,,,,
2026-05-22,NSE,WIPRO,buy,40,480.75,260522001,T260522001,Breakout dekha momentum tha volume bhi accha,,465.00,500.00,breakout,calm
2026-05-25,NSE,WIPRO,sell,20,492.50,260525001,T260525001,,Partial profit booked,,,,
2026-05-26,NSE,WIPRO,sell,20,488.00,260526001,T260526001,,Remaining exit profit book kar liya,,,,
2026-05-29,NSE,RELIANCE,buy,10,2520.00,290915002,T290915002,Breakout dekha resistance ke upar volume bhi tha,,2480.00,2580.00,breakout,confident
2026-05-29,NSE,RELIANCE,sell,10,2575.00,291130002,T291130002,,Target hit profit book kar liya,,,,
2026-05-29,NSE,TCS,buy,5,3880.00,290945003,T290945003,Support se pullback buying dip opportunity,,3840.00,3960.00,pullback,calm
2026-05-29,NSE,TCS,sell,5,3860.00,291030003,T291030003,,SL hit hua gap down tha,,,,
